Style Code,Sub-Style Code,AgeGroup,ColorMap,CountryofOrigin,DetailImage,DropshipListingTitle,Gender,Keywords,MarketplaceItemName,WebsiteLongDescription,WebsiteProductLandingPage,WebsiteProductTitle,WebsiteShortDescription,Custom Label 0,Custom Label 1,Custom Label 2,Custom Label 3,Custom Label 4,Key Features 1,Key Features 2,Key Features 3,Key Features 4,Key Features 5,Meta Description,Meta Keywords,Meta Title,Dropship Description,Dropship Short Description,Product Long Description,Product Short Description,California Prop 65 Warning Text,Color Selection,Contained Battery Type,Contains Chemical or Aerosol or Pesticide,Contains Electronic Component,Line Sheet Price,Line Sheet Product Description,Line Sheet Product Name,Line Sheet Season,Size Range
AVIANA-06,AVIANA-06-PINK,Adult,Pink,,AVIANA-06-PINK.jpg,Pink Footwear,Women,"footwear, pink, shoes, fashion",Pink Footwear | Fashion Collection,The pink footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/pink-footwear,Pink Footwear | Fashion Collection,Pink Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Pink,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The pink footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be ,"footwear, pink, shoes, fashion",Pink Footwear | Fashion Collection,The pink footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Pink Footwear designed for everyday wear with a modern fashion-forward look.,The pink footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Pink Footwear designed for everyday wear with a modern fashion-forward look.,,Pink,,,,,Pink Footwear designed for everyday wear with a modern fashion-forward look.,Pink Footwear,,
AVIANA-06,AVIANA-06-WHITE,Adult,White,,AVIANA-06-WHITE.jpg,White Footwear,Women,"footwear, white, shoes, fashion",White Footwear | Fashion Collection,The white footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/white-footwear,White Footwear | Fashion Collection,White Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: White,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The white footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be,"footwear, white, shoes, fashion",White Footwear | Fashion Collection,The white footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,White Footwear designed for everyday wear with a modern fashion-forward look.,The white footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,White Footwear designed for everyday wear with a modern fashion-forward look.,,White,,,,,White Footwear designed for everyday wear with a modern fashion-forward look.,White Footwear,,
CAMILA-06,CAMILA-06-BLACK,Adult,Black,,CAMILA-06-BLACK.jpg,Black Footwear,Women,"footwear, black, shoes, fashion",Black Footwear | Fashion Collection,The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/black-footwear,Black Footwear | Fashion Collection,Black Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Black,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be,"footwear, black, shoes, fashion",Black Footwear | Fashion Collection,The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Black Footwear designed for everyday wear with a modern fashion-forward look.,The black footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Black Footwear designed for everyday wear with a modern fashion-forward look.,,Black,,,,,Black Footwear designed for everyday wear with a modern fashion-forward look.,Black Footwear,,
CAMILA-06,CAMILA-06-GREEN,Adult,Green,,CAMILA-06-GREEN.jpg,Green Footwear,Women,"footwear, green, shoes, fashion",Green Footwear | Fashion Collection,The green footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/green-footwear,Green Footwear | Fashion Collection,Green Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Green,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The green footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be,"footwear, green, shoes, fashion",Green Footwear | Fashion Collection,The green footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Green Footwear designed for everyday wear with a modern fashion-forward look.,The green footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Green Footwear designed for everyday wear with a modern fashion-forward look.,,Green,,,,,Green Footwear designed for everyday wear with a modern fashion-forward look.,Green Footwear,,
CAMILA-06,CAMILA-06-LILAC,Adult,Lilac,,CAMILA-06-LILAC.jpg,Lilac Footwear,Women,"footwear, lilac, shoes, fashion",Lilac Footwear | Fashion Collection,The lilac footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/lilac-footwear,Lilac Footwear | Fashion Collection,Lilac Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Lilac,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The lilac footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be,"footwear, lilac, shoes, fashion",Lilac Footwear | Fashion Collection,The lilac footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Lilac Footwear designed for everyday wear with a modern fashion-forward look.,The lilac footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Lilac Footwear designed for everyday wear with a modern fashion-forward look.,,Lilac,,,,,Lilac Footwear designed for everyday wear with a modern fashion-forward look.,Lilac Footwear,,
CAMILA-06,CAMILA-06-NUDE,Adult,Nude,,CAMILA-06-NUDE.jpg,Nude Footwear,Women,"footwear, nude, shoes, fashion",Nude Footwear | Fashion Collection,The nude footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/nude-footwear,Nude Footwear | Fashion Collection,Nude Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Nude,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The nude footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be ,"footwear, nude, shoes, fashion",Nude Footwear | Fashion Collection,The nude footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Nude Footwear designed for everyday wear with a modern fashion-forward look.,The nude footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Nude Footwear designed for everyday wear with a modern fashion-forward look.,,Nude,,,,,Nude Footwear designed for everyday wear with a modern fashion-forward look.,Nude Footwear,,
CAMILA-06,CAMILA-06-TAUPE,Adult,Taupe,,CAMILA-06-TAUPE.jpg,Taupe Footwear,Women,"footwear, taupe, shoes, fashion",Taupe Footwear | Fashion Collection,The taupe footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/taupe-footwear,Taupe Footwear | Fashion Collection,Taupe Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Visible color: Taupe,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The taupe footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be,"footwear, taupe, shoes, fashion",Taupe Footwear | Fashion Collection,The taupe footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Taupe Footwear designed for everyday wear with a modern fashion-forward look.,The taupe footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Taupe Footwear designed for everyday wear with a modern fashion-forward look.,,Taupe,,,,,Taupe Footwear designed for everyday wear with a modern fashion-forward look.,Taupe Footwear,,
CORA-01,CORA-01-BLK,Adult,,,CORA-01-BLK.jpg,Footwear,Women,"footwear, shoes, fashion",Footwear | Fashion Collection,The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/footwear,Footwear | Fashion Collection,Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Color visible in image,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refin,"footwear, shoes, fashion",Footwear | Fashion Collection,The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Footwear designed for everyday wear with a modern fashion-forward look.,The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,,Footwear designed for everyday wear with a modern fashion-forward look.,Footwear,,
CORA-01,CORA-01-CAME,Adult,,,CORA-01-CAME.jpg,Footwear,Women,"footwear, shoes, fashion",Footwear | Fashion Collection,The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/footwear,Footwear | Fashion Collection,Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Color visible in image,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refin,"footwear, shoes, fashion",Footwear | Fashion Collection,The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Footwear designed for everyday wear with a modern fashion-forward look.,The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,,Footwear designed for everyday wear with a modern fashion-forward look.,Footwear,,
CORA-01,CORA-01-FUCH,Adult,,,CORA-01-FUCH.jpg,Footwear,Women,"footwear, shoes, fashion",Footwear | Fashion Collection,The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/footwear,Footwear | Fashion Collection,Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Color visible in image,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refin,"footwear, shoes, fashion",Footwear | Fashion Collection,The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Footwear designed for everyday wear with a modern fashion-forward look.,The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,,Footwear designed for everyday wear with a modern fashion-forward look.,Footwear,,
CORA-01,CORA-01-LEOP,Adult,,,CORA-01-LEOP.jpg,Footwear,Women,"footwear, shoes, fashion",Footwear | Fashion Collection,The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/footwear,Footwear | Fashion Collection,Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Color visible in image,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refin,"footwear, shoes, fashion",Footwear | Fashion Collection,The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Footwear designed for everyday wear with a modern fashion-forward look.,The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,,Footwear designed for everyday wear with a modern fashion-forward look.,Footwear,,
CORA-01,CORA-01-TAUP,Adult,,,CORA-01-TAUP.jpg,Footwear,Women,"footwear, shoes, fashion",Footwear | Fashion Collection,The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/footwear,Footwear | Fashion Collection,Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Color visible in image,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refin,"footwear, shoes, fashion",Footwear | Fashion Collection,The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Footwear designed for everyday wear with a modern fashion-forward look.,The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,,Footwear designed for everyday wear with a modern fashion-forward look.,Footwear,,
CORA-01,CORA-01-YLW,Adult,,,CORA-01-YLW.jpg,Footwear,Women,"footwear, shoes, fashion",Footwear | Fashion Collection,The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/footwear,Footwear | Fashion Collection,Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,Color visible in image,Product type: Footwear,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refin,"footwear, shoes, fashion",Footwear | Fashion Collection,The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Footwear designed for everyday wear with a modern fashion-forward look.,The footwear offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Footwear designed for everyday wear with a modern fashion-forward look.,,,,,,,Footwear designed for everyday wear with a modern fashion-forward look.,Footwear,,
F13031C,F13031C-1742VNTGBJ,Adult,,,F13031C-1742VNTGBJ.jpg,Fashion Item,Women,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/fashion-item,Fashion Item | Fashion Collection,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,Color visible in image,Product type: Fashion Item,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be r,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,,Fashion Item designed for everyday wear with a modern fashion-forward look.,Fashion Item,,
F13031C,F13031C-1742VNTGCO,Adult,,,F13031C-1742VNTGCO.jpg,Fashion Item,Women,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/fashion-item,Fashion Item | Fashion Collection,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,Color visible in image,Product type: Fashion Item,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be r,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,,Fashion Item designed for everyday wear with a modern fashion-forward look.,Fashion Item,,
F13031C,F13031C-1742VNTGDM,Adult,,,F13031C-1742VNTGDM.jpg,Fashion Item,Women,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/fashion-item,Fashion Item | Fashion Collection,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,Color visible in image,Product type: Fashion Item,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be r,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,,Fashion Item designed for everyday wear with a modern fashion-forward look.,Fashion Item,,
F13031C,F13031C-1742VNTGST,Adult,,,F13031C-1742VNTGST.jpg,Fashion Item,Women,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/fashion-item,Fashion Item | Fashion Collection,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,Color visible in image,Product type: Fashion Item,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be r,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,,Fashion Item designed for everyday wear with a modern fashion-forward look.,Fashion Item,,
F13T007SS,F13T007SS-CABERNET,Adult,,,F13T007SS-CABERNET.jpg,Fashion Item,Women,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/fashion-item,Fashion Item | Fashion Collection,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,Color visible in image,Product type: Fashion Item,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be r,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,,Fashion Item designed for everyday wear with a modern fashion-forward look.,Fashion Item,,
FA13501DM,FA13501DM-1464KINGSC,Adult,,,FA13501DM-1464KINGSC.jpg,Fashion Item,Women,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/fashion-item,Fashion Item | Fashion Collection,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,Color visible in image,Product type: Fashion Item,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be r,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,,Fashion Item designed for everyday wear with a modern fashion-forward look.,Fashion Item,,
FA13501DM,FA13501DM-1608BLAU2,Adult,,,FA13501DM-1608BLAU2.jpg,Fashion Item,Women,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/fashion-item,Fashion Item | Fashion Collection,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,Color visible in image,Product type: Fashion Item,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be r,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,,Fashion Item designed for everyday wear with a modern fashion-forward look.,Fashion Item,,
FA13501DM,FA13501DM-RINSEWSFT,Adult,,,FA13501DM-RINSEWSFT.jpg,Fashion Item,Women,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/fashion-item,Fashion Item | Fashion Collection,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,Color visible in image,Product type: Fashion Item,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be r,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,,Fashion Item designed for everyday wear with a modern fashion-forward look.,Fashion Item,,
FA13512DM,FA13512DM-1847DPOCN,Adult,,,FA13512DM-1847DPOCN.jpg,Fashion Item,Women,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/fashion-item,Fashion Item | Fashion Collection,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,Color visible in image,Product type: Fashion Item,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be r,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,,Fashion Item designed for everyday wear with a modern fashion-forward look.,Fashion Item,,
FA16023WV,FA16023WV-MIDNIGHTBLUE,Adult,,,FA16023WV-MIDNIGHTBLUE.jpg,Fashion Item,Women,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/fashion-item,Fashion Item | Fashion Collection,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,Color visible in image,Product type: Fashion Item,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be r,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,,Fashion Item designed for everyday wear with a modern fashion-forward look.,Fashion Item,,
FA16023WV,FA16023WV-MIDNIGHTCAMO,Adult,,,FA16023WV-MIDNIGHTCAMO.jpg,Fashion Item,Women,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/fashion-item,Fashion Item | Fashion Collection,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,Color visible in image,Product type: Fashion Item,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be r,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,,Fashion Item designed for everyday wear with a modern fashion-forward look.,Fashion Item,,
FA16023WV,FA16023WV-SLATE,Adult,,,FA16023WV-SLATE.jpg,Fashion Item,Women,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,/products/fashion-item,Fashion Item | Fashion Collection,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,Color visible in image,Product type: Fashion Item,Fashion-forward silhouette,Suitable for styling across seasons,Image-based placeholder attributes (review before publishing),The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be r,"fashion item, general, fashion",Fashion Item | Fashion Collection,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,The fashion item offers a clean silhouette and versatile styling for multiple occasions. This product is generated from image-based attributes and can be refined with additional catalog data.,Fashion Item designed for everyday wear with a modern fashion-forward look.,,,,,,,Fashion Item designed for everyday wear with a modern fashion-forward look.,Fashion Item,,
